name ,Asset Growth,Net Interest margin,ROA,Loss Allowance to Loans,Loans to Assets,Score
FDS Bank,-7.970040659,1.668650467,362.8951572,0.881575081,2.887224481,92.08315181
Merrick Bank,4.170107919,23.83604047,6.520000539,14.05269442,77.8558679,30.56615083
WEX Bank,0.411353639,21.1859221,10.16926233,0.692247635,82.98484241,28.75806862
"The Morris Plan Company of Terre Haute, Inc.",22.4660579,14.57838618,3.676182088,5.817887401,87.22116595,27.8234054
Comenity Bank,0.524103737,22.62023981,4.504512687,5.94337761,77.49878324,27.64172834
"John Deere Financial, f.s.b.",3.709138597,6.524020283,3.506237731,1.048890524,98.9971035,27.51906301
Stearns Bank National Association,12.36166436,6.826356757,2.946970773,3.180883964,95.46750867,27.10543004
Independence Bank,1.689120309,7.304568394,9.298946645,17.68799927,70.29845831,26.14749315
Comenity Capital Bank,7.55571612,16.85975878,2.630646556,5.852811108,78.51245392,25.96391759
Ultima Bank Minnesota,4.579515689,5.364358498,2.474597644,1.226357111,94.1362084,25.80038041
EnerBank USA,50.58121447,7.888349465,2.259832888,1.389757077,90.97921442,25.62928846
LCA Bank Corporation,-6.797022083,6.154624885,2.615509448,2.3762741,90.97984012,25.53156214
Marlin Business Bank,21.67691145,9.141476349,1.430258786,1.880177473,89.51919064,25.49277581
Farmers and Merchants Bank of Kendall,1.569912998,5.012659692,2.766616136,0.923203575,93.22101885,25.48087456
Port Richmond Savings,9.70566573,4.834076435,2.267034265,1.268048071,93.45317657,25.45558384
First National Bank of America,41.11087888,6.231751427,2.714810823,1.21709022,91.34012473,25.3759443
First Western Federal Savings Bank,9.699265586,5.140305742,2.14165354,0.710486322,93.39384951,25.34657378
Maspeth Federal Savings and Loan Association,5.916982928,3.989984401,1.689007074,0.759599911,94.74065108,25.29481062
Synchrony Bank,1.931370919,13.74014841,2.536354593,7.455861301,77.40894728,25.2853279
Financial Federal Bank,11.19849136,3.229863241,1.886521104,1.263198311,94.73484782,25.27860762
Crescent Bank & Trust,0.701593526,13.17918998,1.216122678,4.527613908,82.04397444,25.24172525
Community First Bank,7.096266621,5.164130201,1.710604733,1.141642016,92.86411749,25.22012361
State Savings Bank,7.933362181,4.230799166,2.052405056,1.112689611,93.37170056,25.1918986
Bell Bank,22.25227837,4.0328953,1.286510805,1.003137273,94.36492409,25.17186687
